@relation exemplo4_weka-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R28-34-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.Remove-R2_clustered

@attribute Instance_number numeric
@attribute year numeric
@attribute saturation numeric
@attribute tamura_contrast numeric
@attribute arousal numeric
@attribute pleasure numeric
@attribute dominance numeric
@attribute hue_m numeric
@attribute sat_m numeric
@attribute val_m numeric
@attribute black numeric
@attribute blue numeric
@attribute brown numeric
@attribute green numeric
@attribute gray numeric
@attribute orange numeric
@attribute pink numeric
@attribute purple numeric
@attribute red numeric
@attribute white numeric
@attribute yellow numeric
@attribute entropy_r numeric
@attribute entropy_g numeric
@attribute entropy_b numeric
@attribute count numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
94,1998,108.08075,1.80881,49.45288,58.04533,72.32982,178.53059,57.43887,48.98949,0.71313,0,0.01122,0,0.12009,0.00133,0.06237,0.06849,0,0.02257,0.00079,6.28224,6.22007,6.60362,1,cluster3
95,1998,123.39972,1.77124,60.37305,57.56755,72.99357,182.69527,55.96731,48.26869,0.79256,0,0.0031,0.00001,0.09602,0.0046,0.07674,0.01619,0,0.00992,0.00086,5.47314,5.63947,6.16502,2,cluster0
96,1991,179.05942,3.14269,85.44942,88.33016,111.20074,179.27853,56.70482,48.29585,0.43658,0.00019,0.39347,0,0.09153,0.00055,0.04673,0.00461,0,0.02472,0.00162,5.99246,5.37065,5.56921,207,cluster4
97,1991,182.08681,2.59077,85.23985,93.50568,117.13648,178.56258,57.48307,49.00883,0.26769,0.00008,0.55419,0,0.13383,0.00002,0.01123,0.00234,0,0.03044,0.00019,6.67208,6.11108,5.233,44,cluster4
98,1991,58.90467,3.74377,9.91709,69.55173,81.18349,179.41315,56.7018,48.1473,0.36053,0.00005,0.01842,0,0.53394,0,0.07552,0.00739,0,0.00409,0.00006,6.1326,6.24357,6.18636,50,cluster2
99,1991,173.9213,2.7087,91.82885,66.13852,86.35863,179.37125,56.68085,48.13714,0.69964,0,0.15991,0,0.05348,0.00023,0.08206,0.00359,0,0,0.00108,5.19829,4.87732,4.35887,160,cluster3
100,1993,86.62382,1.68106,-14.85271,167.80119,191.55354,179.63693,57.66294,49.15144,0.01505,0.02577,0.00722,0.1243,0.00813,0,0.21183,0.00385,0.01246,0.49545,0.09594,2.75032,3.80864,3.9124,88,cluster1
101,1993,236.6494,1.30735,121.46614,97.7442,126.04348,178.63589,57.43827,48.98314,0.0142,0.0263,0.02507,0.01401,0.01256,0.00969,0.00707,0.72682,0.10948,0.03962,0.01517,4.89444,3.93501,5.2739,257,cluster1
102,1993,118.42061,2.1915,48.34242,76.60048,93.57059,179.04839,57.61115,49.1778,0.24402,0.0011,0.01196,0.02091,0.17459,0.00005,0.00497,0.28601,0.13923,0.11647,0.00067,4.38796,4.22238,4.58106,4,cluster3
103,1993,226.28131,1.41893,115.12768,95.72501,123.01403,182.63174,56.74127,48.90642,0.01875,0.01432,0.04839,0.00941,0.03854,0.02072,0.00455,0.7073,0.06572,0.04097,0.03134,4.07405,3.82191,4.60803,26,cluster1
104,1993,240.8801,0.42673,102.38781,146.78966,180.3932,179.80324,57.19421,49.19889,0.00674,0.00007,0.0294,0,0.01411,0.00254,0.00243,0.92216,0.00027,0.02227,0,1.33881,1.4179,1.60783,85,cluster1
105,1993,185.35211,1.51871,74.91314,121.57007,148.30164,179.44084,56.93823,48.46692,0.01023,0.01021,0.15231,0.00316,0.08005,0.00752,0.03596,0.57671,0.02652,0.05791,0.03943,3.64895,3.88722,4.29716,14,cluster1
106,1993,53.12527,2.12375,-28.6348,146.37102,165.34708,193.47437,60.17736,53.32861,0.03165,0.00075,0.00605,0.00128,0.36934,0.00089,0.50595,0.00402,0.01694,0.04742,0.01572,2.57577,2.91607,3.44614,1,cluster1
107,1993,229.32166,1.50817,117.10963,96.04277,123.60021,181.18855,55.78747,48.02148,0.00599,0.00316,0.01731,0.00764,0.00614,0.01383,0.02094,0.80749,0.04867,0.06883,0,3.11395,3.05374,3.73022,4,cluster1
108,1993,213.2907,1.21326,108.35951,90.58293,116.34117,179.08521,57.04286,48.75908,0.0064,0.00088,0.08495,0.00677,0.02372,0.01368,0.01964,0.74023,0.06063,0.04247,0.00064,2.64023,2.74226,3.16256,5,cluster3
109,1993,240.61716,1.10676,125.32944,95.31704,123.6783,178.98544,57.58923,49.03026,0.01203,0.01108,0.01126,0.01535,0.01201,0.02563,0.00432,0.80704,0.06326,0.03501,0.00301,2.90315,2.68169,3.19347,29,cluster1
110,1993,242.07697,0.39821,128.51346,90.50074,118.48679,179.04713,57.61253,49.01566,0.00534,0.00221,0.0315,0,0.02011,0.00002,0.00424,0.91695,0.01394,0.00569,0,1.52847,1.28678,1.62046,8,cluster3
111,1993,190.33006,1.35102,92.31726,90.575,114.54883,181.45085,56.36629,48.0408,0.00612,0.00472,0.16543,0,0.05355,0.0004,0.00628,0.67267,0.02844,0.0582,0.00419,4.35313,3.61701,4.34704,52,cluster3
112,1993,86.15543,0.60855,48.6738,25.67493,34.97228,179.46495,56.71999,48.15803,0.92364,0.00956,0.00914,0.0067,0.02546,0.00081,0.00009,0.0125,0.00184,0,0.01026,2.04747,2.12679,2.1977,153,cluster0
113,1993,53.68625,2.12146,-28.169,146.20683,165.20982,178.64146,57.46293,48.9826,0.03181,0.00075,0.00615,0.00133,0.37312,0.00089,0.49644,0.00431,0.01667,0.05276,0.01576,2.67696,2.99842,3.56723,1,cluster1
